year,n_cities,n_stations,mean_S1,median_S1,mean_S2,median_S2,gini_S1,pct_HH,pct_HL,pct_LH,pct_LL
2000,3,98,55362.0,48696.8,3533081.5,3019685.2,0.2901,0.3061,0.1939,0.2245,0.2755
2001,3,98,57330.3,50602.9,3660817.2,3122013.6,0.2877,0.3061,0.1939,0.2245,0.2755
2002,4,129,62888.9,52634.8,3816026.5,3781077.4,0.3293,0.3411,0.1628,0.1628,0.3333
2003,5,176,53760.7,43414.1,3522553.7,4362320.4,0.4066,0.392,0.108,0.108,0.392
2004,8,229,55566.8,45247.1,3401523.5,3037249.2,0.4075,0.3537,0.1485,0.1485,0.3493
2005,10,279,57241.0,47666.7,4288438.7,2338382.0,0.4133,0.3441,0.1577,0.1792,0.319
2006,10,361,54947.2,46514.1,4283258.5,2697154.2,0.4335,0.3518,0.1496,0.1524,0.3463
2007,10,444,55538.4,47843.8,6171795.4,3437741.9,0.4228,0.3401,0.1599,0.1599,0.3401
2008,10,473,56793.8,50190.9,6806692.3,4549503.9,0.4187,0.3446,0.1564,0.1564,0.3425
2009,10,563,58477.1,51764.1,9457732.9,7965386.4,0.4101,0.357,0.1439,0.1439,0.3552
2010,12,816,53090.3,44780.9,10325146.7,4609364.7,0.4524,0.3542,0.1458,0.1458,0.3542
2011,13,995,53582.6,44423.4,10120925.1,5502599.3,0.4484,0.3548,0.1457,0.1457,0.3538
2012,16,1195,53865.9,44736.8,10379616.0,6167727.0,0.4471,0.359,0.1414,0.1414,0.3582
2013,18,1414,53003.7,42772.8,10685451.0,5961011.3,0.464,0.3734,0.1266,0.1266,0.3734
2014,21,1680,50739.7,38267.2,10408015.2,5206860.1,0.4827,0.3792,0.1208,0.1208,0.3792
2015,23,1888,50059.0,48150.3,9180403.1,4744635.2,0.3261,0.3538,0.1462,0.1462,0.3538
2016,27,2208,49963.2,47996.2,9277412.9,4767575.9,0.334,0.3578,0.1422,0.1427,0.3573
2017,30,2681,47703.6,45568.3,8692523.6,4783009.4,0.3527,0.3678,0.1324,0.1324,0.3674
2018,31,3061,46138.9,43613.2,8646422.6,4761928.0,0.3675,0.3692,0.131,0.131,0.3688
2019,37,3580,45064.5,41803.3,8398418.0,5211047.0,0.373,0.3785,0.1215,0.1215,0.3785
2020,38,4249,43921.7,40190.8,8779360.8,5582187.4,0.3812,0.378,0.1221,0.1221,0.3777
2021,41,4891,42605.3,38462.6,9101655.0,6059828.9,0.3867,0.3829,0.1172,0.1172,0.3827
2022,43,5354,41819.0,37416.8,9260422.8,6188473.8,0.3905,0.3831,0.1169,0.1169,0.3831
2023,44,5713,40782.5,36003.1,9192278.3,6337777.1,0.3986,0.3854,0.1147,0.1147,0.3853
2024,44,5974,40272.5,35354.2,9474252.0,6515117.3,0.4013,0.3798,0.1202,0.1202,0.3798
2025,44,6083,40118.0,35197.6,9673891.5,6606930.7,0.402,0.3791,0.121,0.121,0.3789
